experiment,label,target_model,split_mode,tensor_split,spec_family,spec_n_max,spec_p_min,top_k,min_p,temp,ctx_total,batch_b,ubatch_ub,n_predict,prompt_tokens,prefill_tok_s,prefill_ms,gen_tokens,gen_tok_s,gen_ms,acceptance_length_metrics_cumulative,proposed_per_round_metrics_cumulative,token_accept_rate_metrics_cumulative,output_sha256_16hex,vram_after_load_mib,peak_vram_mib,repeat,backend_sampling_on_gpu,wall_s,error
100k n-max + sampler trim sweep (stage A+B),mtp7-topk40-minp01,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,40,0.1,0.5,131072,2048,256,256,99589,513.1,194091,256,34.07,7485,3.956,6.794,0.4351,cc0bb028921b3645,"[9611, 9603, 4]","[9781, 9773, 4]",,,204.1,
100k n-max + sampler trim sweep (stage A+B),mtp7-topk50-minp005,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,50,0.05,0.5,131072,2048,256,256,99589,515.64,193136,256,40.59,6282,4.737,6.772,0.5518,94d69802165cab24,"[9611, 9603, 4]","[9783, 9775, 4]",,,201.7,
100k n-max + sampler trim sweep (stage A+B),mtp7-topk50-minp008,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,50,0.08,0.5,131072,2048,256,256,99589,514.48,193572,256,34.84,7319,4.015,6.821,0.442,376e48ee5cab9fcd,"[9611, 9603, 4]","[9785, 9777, 4]",,,203.4,
100k n-max + sampler trim sweep (stage A+B),mtp7-topk50-minp01,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,50,0.1,0.5,131072,2048,256,256,99589,516.24,192911,256,34.11,7476,3.956,6.794,0.4351,cc0bb028921b3645,"[9611, 9603, 4]","[9781, 9773, 4]",,,202.9,
"100k n-max 5-8 confirmation, 3 repeats",mtp5-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,5,0.0,,,0.5,131072,2048,256,256,99589,508.83,195721,256,31.41,8118,3.253,4.904,0.4595,97f87ebc6487c38a,"[9461, 9453, 4]","[9627, 9619, 4]",,,206.1,
"100k n-max 5-8 confirmation, 3 repeats",mtp6-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,6,0.0,,,0.5,131072,2048,256,256,99589,506.63,196573,256,33.86,7531,3.736,5.875,0.4657,f9dde767132d2da3,"[9535, 9527, 4]","[9707, 9699, 4]",,,206.4,
"100k n-max 5-8 confirmation, 3 repeats",mtp7-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,505.93,196845,256,43.05,5923,5.0,6.759,0.5918,450af7a0d4fe094d,"[9611, 9603, 4]","[9783, 9775, 4]",,,205.1,
"100k n-max 5-8 confirmation, 3 repeats",mtp8-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,8,0.0,,,0.5,131072,2048,256,256,99589,506.71,196540,256,35.59,7165,4.219,7.688,0.4187,aa2340f7412e26ca,"[9685, 9677, 4]","[9855, 9847, 4]",,,206.2,
"100k n-max 5-8 confirmation, 3 repeats",mtp5-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,5,0.0,,,0.5,131072,2048,256,256,99589,506.05,196797,256,31.34,8136,3.253,4.904,0.4595,97f87ebc6487c38a,"[9461, 9453, 4]","[9627, 9619, 4]",,,207.2,
"100k n-max 5-8 confirmation, 3 repeats",mtp6-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,6,0.0,,,0.5,131072,2048,256,256,99589,502.45,198206,256,33.83,7539,3.736,5.875,0.4657,f9dde767132d2da3,"[9535, 9527, 4]","[9705, 9697, 4]",,,208.2,
"100k n-max 5-8 confirmation, 3 repeats",mtp7-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,510.52,195073,256,43.02,5927,5.0,6.759,0.5918,450af7a0d4fe094d,"[9611, 9603, 4]","[9783, 9775, 4]",,,203.4,
"100k n-max 5-8 confirmation, 3 repeats",mtp8-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,8,0.0,,,0.5,131072,2048,256,256,99589,504.43,197430,256,35.57,7169,4.219,7.688,0.4187,aa2340f7412e26ca,"[9685, 9677, 4]","[9855, 9847, 4]",,,207.2,
"100k n-max 5-8 confirmation, 3 repeats",mtp5-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,5,0.0,,,0.5,131072,2048,256,256,99589,510.08,195242,256,31.3,8146,3.253,4.904,0.4595,97f87ebc6487c38a,"[9461, 9453, 4]","[9627, 9619, 4]",,,205.6,
"100k n-max 5-8 confirmation, 3 repeats",mtp6-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,6,0.0,,,0.5,131072,2048,256,256,99589,506.48,196630,256,33.81,7543,3.736,5.875,0.4657,f9dde767132d2da3,"[9535, 9527, 4]","[9705, 9697, 4]",,,206.5,
"100k n-max 5-8 confirmation, 3 repeats",mtp7-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,505.71,196927,256,43.04,5925,5.0,6.759,0.5918,450af7a0d4fe094d,"[9611, 9603, 4]","[9783, 9775, 4]",,,205.1,
"100k n-max 5-8 confirmation, 3 repeats",mtp8-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,8,0.0,,,0.5,131072,2048,256,256,99589,506.29,196702,256,35.62,7159,4.219,7.688,0.4187,aa2340f7412e26ca,"[9685, 9677, 4]","[9855, 9847, 4]",,,206.5,
"100k split-mode matrix, n-max 7, 2 repeats",mode-tensor2-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,507.92,196072,256,43.1,5917,5.0,6.759,0.5918,450af7a0d4fe094d,"[9611, 9603, 4]","[9783, 9775, 4]",1,False,204.4,
"100k split-mode matrix, n-max 7, 2 repeats",mode-layer2-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,489.83,203315,256,26.26,9711,4.909,6.745,0.5795,0194852ba7ad2825,"[8529, 11009, 4]","[8725, 11031, 4]",1,True,215.3,
