Drafter,n-max,Temp,prompt_n,prefill ms,prefill tok/s,gen_n,gen ms,gen tok/s,draft acc %,accepted/generated,mean len,ms/step,out sha256
DFlash2 BF16,1,0.0,19966,24238,823.74,256,11664,21.86,97.67,126/129,1.98,90.2,70da3586571d564f
DFlash2 BF16,2,0.0,19966,24289,822.0,256,8493,30.02,98.26,169/172,2.97,98.5,70da3586571d564f
DFlash2 BF16,3,0.0,19966,24444,816.82,256,7498,34.01,96.43,189/196,3.86,113.1,70da3586571d564f
DFlash2 BF16,4,0.0,19966,24574,812.49,256,6647,38.36,94.37,201/213,4.72,122.6,70da3586571d564f
DFlash2 BF16,5,0.0,19966,24766,806.18,256,6152,41.45,94.17,210/223,5.67,136.3,70da3586571d564f
DFlash2 BF16,6,0.0,19966,24825,804.27,256,6031,42.28,90.72,215/237,6.38,150.3,70da3586571d564f
DFlash2 BF16,7,0.0,19966,24947,800.35,256,6084,41.91,87.60,219/250,7.08,168.3,70da3586571d564f
DFlash2 BF16,8,0.0,19966,25112,795.08,256,6066,42.04,87.60,219/250,7.08,167.8,70da3586571d564f
DFlash2 Q4_K_M,1,0.0,19966,24211,824.67,256,10921,23.35,97.67,126/129,1.98,84.5,70da3586571d564f
DFlash2 Q4_K_M,2,0.0,19966,24299,821.66,256,8049,31.68,98.26,169/172,2.97,93.4,70da3586571d564f
DFlash2 Q4_K_M,3,0.0,19966,24585,812.12,256,7101,35.91,96.43,189/196,3.86,107.1,70da3586571d564f
DFlash2 Q4_K_M,4,0.0,19966,24478,815.68,256,6355,40.13,94.37,201/213,4.72,117.2,70da3586571d564f
DFlash2 Q4_K_M,5,0.0,19966,24698,808.39,256,5946,42.89,94.17,210/223,5.67,131.7,70da3586571d564f
DFlash2 Q4_K_M,6,0.0,19966,24771,806.03,256,5892,43.28,90.72,215/237,6.38,146.8,70da3586571d564f
DFlash2 Q4_K_M,7,0.0,19966,24889,802.2,256,5924,43.04,87.60,219/250,7.08,163.8,70da3586571d564f
DFlash2 Q4_K_M,8,0.0,19966,25063,796.64,256,5943,42.9,87.60,219/250,7.08,164.4,70da3586571d564f
DFlash2 Q8_0,1,0.0,19966,24103,828.35,256,11080,23.01,97.67,126/129,1.98,85.7,70da3586571d564f
DFlash2 Q8_0,2,0.0,19966,24172,825.99,256,8101,31.48,98.26,169/172,2.97,94.0,70da3586571d564f
DFlash2 Q8_0,3,0.0,19966,24371,819.25,256,7199,35.42,96.43,189/196,3.86,108.5,70da3586571d564f
DFlash2 Q8_0,4,0.0,19966,24504,814.79,256,6399,39.85,94.37,201/213,4.72,118.0,70da3586571d564f
DFlash2 Q8_0,5,0.0,19966,24679,809.02,256,5971,42.71,94.17,210/223,5.67,132.2,70da3586571d564f
DFlash2 Q8_0,6,0.0,19966,24694,808.54,256,5918,43.09,90.72,215/237,6.38,147.5,70da3586571d564f
DFlash2 Q8_0,7,0.0,19966,24840,803.79,256,5912,43.13,87.60,219/250,7.08,163.5,70da3586571d564f
DFlash2 Q8_0,8,0.0,19966,24989,799.0,256,5914,43.12,87.60,219/250,7.08,163.6,70da3586571d564f
MTP (built-in draft-mtp),1,0.0,19966,22833,874.43,256,10568,24.13,100.00,124/124,2.00,82.6,70da3586571d564f
MTP (built-in draft-mtp),2,0.0,19966,22912,871.41,256,8140,31.33,100.00,168/168,2.95,93.8,70da3586571d564f
MTP (built-in draft-mtp),3,0.0,19966,23248,858.81,256,7460,34.18,99.47,188/189,3.85,112.2,70da3586571d564f
MTP (built-in draft-mtp),4,0.0,19966,23273,857.89,256,6974,36.57,99.00,198/200,4.60,125.3,70da3586571d564f
MTP (built-in draft-mtp),5,0.0,19966,23422,852.45,256,6683,38.16,97.64,207/212,5.31,138.6,70da3586571d564f
MTP (built-in draft-mtp),6,0.0,19966,23433,852.06,256,6750,37.78,94.62,211/223,6.02,158.7,70da3586571d564f
MTP (built-in draft-mtp),7,0.0,19966,23759,840.34,256,6576,38.78,96.41,215/223,6.66,171.1,70da3586571d564f
MTP (built-in draft-mtp),8,0.0,19966,23752,840.6,256,5392,47.29,97.78,220/225,7.29,153.5,70da3586571d564f
