Drafter,n-max,Temp,prompt_n,prefill ms,prefill tok/s,gen_n,gen ms,gen tok/s,draft acc %,accepted/generated,mean len,ms/step,out sha256
DFlash2 Q4_K_M,5,0.6,19966,24496,815.06,256,7242,35.21,65.88,195/296,4.25,120.2,54ccfaf72f46f12c
DFlash2 Q4_K_M,6,0.6,19966,24633,810.53,256,7285,35.0,62.04,201/324,4.72,134.3,54ccfaf72f46f12c
DFlash2 Q4_K_M,7,0.6,19966,24849,803.49,256,7763,32.85,56.08,203/362,4.90,148.6,54ccfaf72f46f12c
DFlash2 Q4_K_M,8,0.6,19966,25008,798.37,256,7789,32.74,56.08,203/362,4.90,149.1,54ccfaf72f46f12c
DFlash2 Q8_0,5,0.6,19966,24646,810.12,256,7431,34.32,63.82,194/304,4.18,121.3,54ccfaf72f46f12c
DFlash2 Q8_0,6,0.6,19966,24727,807.46,256,7409,34.42,60.98,200/328,4.64,134.3,54ccfaf72f46f12c
DFlash2 Q8_0,7,0.6,19966,24873,802.72,256,7898,32.29,54.74,202/369,4.81,148.4,54ccfaf72f46f12c
DFlash2 Q8_0,8,0.6,19966,25016,798.14,256,7915,32.22,54.74,202/369,4.81,148.7,54ccfaf72f46f12c
MTP (built-in draft-mtp),6,0.6,19966,23446,851.56,256,7133,35.75,94.69,196/207,4.50,125.4,21bdf8f4718cadf0
MTP (built-in draft-mtp),7,0.6,19966,23609,845.71,256,8878,28.72,96.53,167/173,3.11,107.9,63c5ae48b66ca327
MTP (built-in draft-mtp),8,0.6,19966,23767,840.08,256,8371,30.46,92.06,174/189,3.45,112.8,bf00f7ee7af4e7e2
