Drafter,n-max,Temp,prompt_n,prefill ms,prefill tok/s,gen_n,gen ms,gen tok/s,draft acc %,accepted/generated,mean len,ms/step,out sha256
DFlash2 BF16,1,0.8,19966,24175,825.88,256,12548,20.32,75.86,110/145,1.76,86.3,6f0f627039a4a88c
DFlash2 BF16,2,0.8,19966,24281,822.31,256,10141,25.14,66.97,146/218,2.34,92.7,5818c51755937464
DFlash2 BF16,3,0.8,19966,24458,816.33,256,10292,24.78,54.48,158/290,2.63,105.7,5818c51755937464
DFlash2 BF16,4,0.8,19966,24575,812.44,256,9147,27.88,54.69,175/320,3.19,114.0,8e8a9d09bdc39c3a
DFlash2 BF16,5,0.8,19966,24768,806.12,256,9250,27.57,49.05,181/369,3.45,124.7,8e8a9d09bdc39c3a
DFlash2 BF16,6,0.8,19966,24819,804.45,256,9904,25.75,42.56,183/430,3.54,137.0,8e8a9d09bdc39c3a
DFlash2 BF16,7,0.8,19966,24938,800.61,256,10770,23.68,37.40,184/492,3.59,151.0,8e8a9d09bdc39c3a
DFlash2 BF16,8,0.8,19966,25084,795.96,256,10778,23.66,37.40,184/492,3.59,151.1,8e8a9d09bdc39c3a
DFlash2 Q4_K_M,1,0.8,19966,23955,833.47,256,11670,21.85,74.66,109/146,1.75,79.8,6f0f627039a4a88c
DFlash2 Q4_K_M,2,0.8,19966,24114,827.99,256,9754,26.14,62.83,142/226,2.26,86.1,5818c51755937464
DFlash2 Q4_K_M,3,0.8,19966,24380,818.94,256,10134,25.16,50.99,154/302,2.52,99.8,5818c51755937464
DFlash2 Q4_K_M,4,0.8,19966,24514,814.46,256,8141,31.32,60.81,180/296,3.43,109.1,8e8a9d09bdc39c3a
DFlash2 Q4_K_M,5,0.8,19966,24662,809.6,256,8490,30.04,53.01,185/349,3.64,120.7,8e8a9d09bdc39c3a
DFlash2 Q4_K_M,6,0.8,19966,24727,807.45,256,8890,28.68,48.09,189/393,3.86,134.0,8e8a9d09bdc39c3a
DFlash2 Q4_K_M,7,0.8,19966,24855,803.3,256,9695,26.3,42.22,190/450,3.92,148.5,8e8a9d09bdc39c3a
DFlash2 Q4_K_M,8,0.8,19966,25059,796.75,256,9718,26.24,42.22,190/450,3.92,148.8,8e8a9d09bdc39c3a
DFlash2 Q8_0,1,0.8,19966,24090,828.82,256,11917,21.4,75.86,110/145,1.76,81.9,6f0f627039a4a88c
DFlash2 Q8_0,2,0.8,19966,24188,825.45,256,9742,26.17,65.91,145/220,2.32,88.3,5818c51755937464
DFlash2 Q8_0,3,0.8,19966,24384,818.81,256,9967,25.58,53.58,157/293,2.60,101.2,5818c51755937464
DFlash2 Q8_0,4,0.8,19966,24488,815.34,256,8686,29.36,55.70,176/316,3.23,109.6,8e8a9d09bdc39c3a
DFlash2 Q8_0,5,0.8,19966,24681,808.95,256,9000,28.33,49.05,181/369,3.45,121.3,8e8a9d09bdc39c3a
DFlash2 Q8_0,6,0.8,19966,24713,807.9,256,9689,26.32,42.56,183/430,3.54,134.0,8e8a9d09bdc39c3a
DFlash2 Q8_0,7,0.8,19966,24823,804.32,256,10736,23.75,36.82,183/497,3.58,150.1,8e8a9d09bdc39c3a
DFlash2 Q8_0,8,0.8,19966,25040,797.35,256,10736,23.75,36.82,183/497,3.58,150.1,8e8a9d09bdc39c3a
MTP (built-in draft-mtp),1,0.8,19966,22807,875.44,256,11347,22.47,100.00,109/109,2.00,88.6,4578db9d2b2fb3c0
MTP (built-in draft-mtp),2,0.8,19966,22889,872.3,256,10051,25.37,100.00,138/138,2.39,93.8,b51d28e7d72543ea
MTP (built-in draft-mtp),3,0.8,19966,23097,864.46,256,8140,31.33,100.00,172/172,3.26,103.7,efc6277e8baa88ae
MTP (built-in draft-mtp),4,0.8,19966,23221,859.84,256,9291,27.45,98.11,156/159,2.73,99.1,53c989e690f764c6
MTP (built-in draft-mtp),5,0.8,19966,23409,852.92,256,9171,27.81,100.00,159/159,2.99,107.1,c0ab8f18f80016eb
MTP (built-in draft-mtp),6,0.8,19966,23453,851.33,256,8714,29.26,97.69,169/173,3.22,109.6,8b5ef5ca70d4f1d9
MTP (built-in draft-mtp),7,0.8,19966,23589,846.4,256,9935,25.67,86.59,155/179,3.31,128.5,18103dfc507ded51
MTP (built-in draft-mtp),8,0.8,19966,23746,840.8,256,7815,32.63,91.88,181/197,3.59,109.6,4f9dc7bf1457e997
