n-max,p-min,prefill tok/s,gen tok/s,AL,accept,VRAM after load (0/1),peak (0/1)
2,0.85,452.76,9.15,1.667,0.6667,"10,005 / 9,997","10,175 / 10,167"
4,0.85,448.20,8.90,1.667,0.6667,"10,155 / 10,147","10,327 / 10,319"
3,0.85,452.85,8.87,1.667,0.6667,"10,079 / 10,071","10,251 / 10,243"
5,0.85,453.68,8.80,1.667,0.6667,"10,229 / 10,221","10,401 / 10,393"
6,0.85,452.63,8.72,1.667,0.6667,"10,303 / 10,295","10,477 / 10,469"
7,0.85,449.57,8.50,1.667,0.6667,"10,379 / 10,371","10,553 / 10,545"
8,0.85,453.42,8.43,1.667,0.6667,"10,453 / 10,445","10,627 / 10,619"
2,0.00,455.99,7.78,1.667,0.3529,"10,005 / 9,997","10,171 / 10,163"
3,0.00,453.36,7.23,1.667,0.2400,"10,079 / 10,071","10,247 / 10,239"
4,0.00,452.92,6.48,2.143,0.2857,"10,155 / 10,147","10,323 / 10,315"
5,0.00,451.77,5.98,2.143,0.2286,"10,229 / 10,221","10,397 / 10,389"
6,0.00,452.10,5.76,1.875,0.1707,"10,303 / 10,295","10,473 / 10,465"
7,0.00,451.98,5.36,1.875,0.1489,"10,379 / 10,371","10,549 / 10,541"
8,0.00,449.25,5.21,1.875,0.1321,"10,453 / 10,445","10,625 / 10,617"
