-b,-ub,prefill tok/s,gen tok/s,VRAM after load (0/1)
4096,256,455.46,9.04,"10,005 / 9,997"
2048,256,450.70,9.10,"10,005 / 9,997"
1024,256,450.00,9.09,"10,005 / 9,997"
512,256,447.13,9.02,"10,005 / 9,997"
4096,512,444.43,9.22,"10,239 / 10,231"
4096,1024,444.49,9.11,"10,709 / 10,701"
2048,512,443.34,9.24,"10,239 / 10,231"
2048,1024,442.38,9.13,"10,709 / 10,701"
1024,512,442.21,9.17,"10,239 / 10,231"
256,256,440.88,9.11,"10,005 / 9,997"
1024,1024,440.48,9.20,"10,709 / 10,701"
512,512,437.29,9.23,"10,239 / 10,231"
4096,128,436.94,8.97,"9,887 / 9,879"
2048,128,436.45,9.12,"9,887 / 9,879"
1024,128,435.14,9.10,"9,887 / 9,879"
512,128,430.50,9.20,"9,887 / 9,879"
256,128,420.98,9.07,"9,887 / 9,879"
128,128,419.06,9.14,"9,887 / 9,879"
2048,2048,FAILED,—,server died mid-request
4096,2048,FAILED,—,server died mid-request
4096,4096,FAILED,—,server never became healthy
